sender_id,session_idx,marker,statistic,value
c4e98182858240028c42635f5be12861,0,marker_gender_provided,max(number of preceding user turns),12
c4e98182858240028c42635f5be12861,0,marker_gender_provided,mean(number of preceding user turns),9.763
c4e98182858240028c42635f5be12861,0,marker_gender_provided,median(number of preceding user turns),10.0
c4e98182858240028c42635f5be12861,0,marker_gender_provided,min(number of preceding user turns),7
c4e98182858240028c42635f5be12861,0,marker_generate_diet_attempted,count(number of preceding user turns),1
c4e98182858240028c42635f5be12861,0,marker_generate_diet_attempted,max(number of preceding user turns),8
c4e98182858240028c42635f5be12861,0,marker_generate_diet_attempted,mean(number of preceding user turns),8.0
c4e98182858240028c42635f5be12861,0,marker_generate_diet_attempted,median(number of preceding user turns),8.0
c4e98182858240028c42635f5be12861,0,marker_generate_diet_attempted,min(number of preceding user turns),8
c4e98182858240028c42635f5be12861,0,marker_goal_expressed,count(number of preceding user turns),1
c4e98182858240028c42635f5be12861,0,marker_goal_expressed,max(number of preceding user turns),2
c4e98182858240028c42635f5be12861,0,marker_goal_expressed,mean(number of preceding user turns),2.0
c4e98182858240028c42635f5be12861,0,marker_goal_expressed,median(number of preceding user turns),2.0
c4e98182858240028c42635f5be12861,0,marker_goal_expressed,min(number of preceding user turns),2
c4e98182858240028c42635f5be12861,0,marker_goal_provided,count(number of preceding user turns),111
c4e98182858240028c42635f5be12861,0,marker_goal_provided,max(number of preceding user turns),12
c4e98182858240028c42635f5be12861,0,marker_goal_provided,mean(number of preceding user turns),8.171
c4e98182858240028c42635f5be12861,0,marker_goal_provided,median(number of preceding user turns),8.0
c4e98182858240028c42635f5be12861,0,marker_goal_provided,min(number of preceding user turns),3
c4e98182858240028c42635f5be12861,0,marker_height_provided,count(number of preceding user turns),79
c4e98182858240028c42635f5be12861,0,marker_height_provided,max(number of preceding user turns),12
c4e98182858240028c42635f5be12861,0,marker_height_provided,mean(number of preceding user turns),9.658
c4e98182858240028c42635f5be12861,0,marker_height_provided,median(number of preceding user turns),10.0
c4e98182858240028c42635f5be12861,0,marker_height_provided,min(number of preceding user turns),7
c4e98182858240028c42635f5be12861,0,marker_no_allergens_expressed,count(number of preceding user turns),0
c4e98182858240028c42635f5be12861,0,marker_no_allergens_expressed,max(number of preceding user turns),nan
c4e98182858240028c42635f5be12861,0,marker_no_allergens_expressed,mean(number of preceding user turns),nan
c4e98182858240028c42635f5be12861,0,marker_no_allergens_expressed,median(number of preceding user turns),nan
c4e98182858240028c42635f5be12861,0,marker_no_allergens_expressed,min(number of preceding user turns),nan
c4e98182858240028c42635f5be12861,0,marker_no_greeting,count(number of preceding user turns),1
c4e98182858240028c42635f5be12861,0,marker_no_greeting,max(number of preceding user turns),0
c4e98182858240028c42635f5be12861,0,marker_no_greeting,mean(number of preceding user turns),0.0
c4e98182858240028c42635f5be12861,0,marker_no_greeting,median(number of preceding user turns),0.0
c4e98182858240028c42635f5be12861,0,marker_no_greeting,min(number of preceding user turns),0
c4e98182858240028c42635f5be12861,0,marker_weight_provided,count(number of preceding user turns),78
c4e98182858240028c42635f5be12861,0,marker_weight_provided,max(number of preceding user turns),12
c4e98182858240028c42635f5be12861,0,marker_weight_provided,mean(number of preceding user turns),9.692
c4e98182858240028c42635f5be12861,0,marker_weight_provided,median(number of preceding user turns),10.0
c4e98182858240028c42635f5be12861,0,marker_weight_provided,min(number of preceding user turns),7
